gene_identifier	macM	macF	mouse	pig	human
gene_5775	POLR1C	POLR1C	Polr1c	POLR1C	POLR1C
gene_5776	PCMTD2	PCMTD2	Pcmtd2	PCMTD2	PCMTD2
gene_5777	NMNAT2	NMNAT2	Nmnat2	NMNAT2	NMNAT2
gene_5778	TAOK3	TAOK3	Taok3	TAOK3	TAOK3
gene_5779	GPS2	GPS2	Gps2	GPS2	GPS2
gene_5780	PIK3R2	PIK3R2	Pik3r2	PIK3R2	PIK3R2
gene_5781	CD93	CD93	Cd93	CD93	CD93
gene_5782	ABRA	ABRA	Abra	ABRA	ABRA
gene_5783	RGS19	RGS19	Rgs19	RGS19	RGS19
gene_5784	MYL10	MYL10	Myl10	MYL10	MYL10
gene_5785	FZD3	FZD3	Fzd3	FZD3	FZD3
gene_5786	IFI30	IFI30	Ifi30	IFI30	IFI30
gene_5787	TAS2R16	TAS2R16	Tas2r118	TAS2R16	TAS2R16
gene_5788	OPRL1	OPRL1	Oprl1	OPRL1	OPRL1
gene_5789	REXO2	REXO2	Rexo2	REXO2	REXO2
gene_5790	INTS9	INTS9	Ints9	INTS9	INTS9
gene_5791	WWC1	WWC1	Wwc1	WWC1	WWC1
gene_5792	MPV17L2	MPV17L2	Mpv17l2	MPV17L2	MPV17L2
gene_5793	SLC35A2	SLC35A2	Slc35a2	SLC35A2	SLC35A2
gene_5794	GEMIN2	GEMIN2	Gemin2	GEMIN2	GEMIN2
gene_5795	DENND11	DENND11	Dennd11	DENND11	DENND11
gene_5796	RAB3A	RAB3A	Rab3a	RAB3A	RAB3A
gene_5797	TAS2R3	TAS2R3	Tas2r137	TAS2R3	TAS2R3
gene_5798	YIPF3	YIPF3	Yipf3	YIPF3	YIPF3
gene_5799	LSM4	LSM4	Lsm4	LSM4	LSM4
gene_5800	TSPAN12	TSPAN12	Tspan12	TSPAN12	TSPAN12
gene_5801	MSI1	MSI1	Msi1	MSI1	MSI1
gene_5802	TDRD5	TDRD5	Tdrd5	TDRD5	TDRD5
gene_5803	NEURL4	NEURL4	Neurl4	NEURL4	NEURL4
gene_5804	PGPEP1	PGPEP1	Pgpep1	PGPEP1	PGPEP1
gene_5805	DPF3	DPF3	Dpf3	DPF3	DPF3
gene_5806	CD2BP2	CD2BP2	Cd2bp2	CD2BP2	CD2BP2
gene_5807	TBC1D10B	TBC1D10B	Tbc1d10b	TBC1D10B	TBC1D10B
gene_5808	LRRC25	LRRC25	Lrrc25	LRRC25	LRRC25
gene_5809	RAPGEF6	RAPGEF6	Rapgef6	RAPGEF6	RAPGEF6
gene_5810	TMPRSS13	TMPRSS13	Tmprss13	TMPRSS13	TMPRSS13
gene_5811	BIN1	BIN1	Bin1	BIN1	BIN1
gene_5812	PRKAR2B	PRKAR2B	Prkar2b	PRKAR2B	PRKAR2B
gene_5813	SSBP4	SSBP4	Ssbp4	SSBP4	SSBP4
gene_5814	USP30	USP30	Usp30	USP30	USP30
gene_5815	IKBKB	IKBKB	Ikbkb	IKBKB	IKBKB
gene_5816	GPR139	GPR139	Gpr139	GPR139	GPR139
gene_5817	XPO5	XPO5	Xpo5	XPO5	XPO5
gene_5818	SCCPDH	SCCPDH	Sccpdh	SCCPDH	SCCPDH
gene_5819	MLLT10	MLLT10	Mllt10	MLLT10	MLLT10
gene_5820	CEP350	CEP350	Cep350	CEP350	CEP350
gene_5821	UBE2H	UBE2H	Ube2h	UBE2H	UBE2H
gene_5822	PIM2	PIM2	Pim2	PIM2	PIM2
gene_5823	CRAT	CRAT	Crat	CRAT	CRAT
gene_5824	OTUD5	OTUD5	Otud5	OTUD5	OTUD5
gene_5825	SDR39U1	SDR39U1	Sdr39u1	SDR39U1	SDR39U1
gene_5826	CUX2	CUX2	Cux2	CUX2	CUX2
gene_5827	TRPM3	TRPM3	Trpm3	TRPM3	TRPM3
gene_5828	POLH	POLH	Polh	POLH	POLH
gene_5829	ISYNA1	ISYNA1	Isyna1	ISYNA1	ISYNA1
gene_5830	PTPRZ1	PTPRZ1	Ptprz1	PTPRZ1	PTPRZ1
gene_5831	ELK4	ELK4	Elk4	ELK4	ELK4
gene_5832	NGB	NGB	Ngb	NGB	NGB
gene_5833	GRIPAP1	GRIPAP1	Gripap1	GRIPAP1	GRIPAP1
gene_5834	GTPBP2	GTPBP2	Gtpbp2	GTPBP2	GTPBP2
gene_5835	MDGA2	MDGA2	Mdga2	MDGA2	MDGA2
gene_5836	TFB2M	TFB2M	Tfb2m	TFB2M	TFB2M
gene_5837	ACAP1	ACAP1	Acap1	ACAP1	ACAP1
gene_5838	CPM	CPM	Cpm	CPM	CPM
gene_5839	LYPLAL1	LYPLAL1	Lyplal1	LYPLAL1	LYPLAL1
gene_5840	MAD2L1BP	MAD2L1BP	Mad2l1bp	MAD2L1BP	MAD2L1BP
gene_5841	RSPH9	RSPH9	Rsph9	RSPH9	RSPH9
gene_5842	PGC	PGC	Pgc	PGC	PGC
gene_5843	FUZ	FUZ	Fuz	FUZ	FUZ
gene_5844	FRS3	FRS3	Frs3	FRS3	FRS3
gene_5845	GLG1	GLG1	Glg1	GLG1	GLG1
gene_5846	MPZL1	MPZL1	Mpzl1	MPZL1	MPZL1
gene_5847	TAPT1	TAPT1	Tapt1	TAPT1	TAPT1
gene_5848	PRICKLE4	PRICKLE4	Prickle4	PRICKLE4	PRICKLE4
gene_5849	EPC1	EPC1	Epc1	EPC1	EPC1
gene_5850	DAO	DAO	Dao	DAO	DAO
gene_5851	EEF1A1	EEF1A1	Eef1a1	EEF1A1	EEF1A1
gene_5852	IGHM	IGHM	Ighm	IGHM	IGHM
gene_5853	INTS7	INTS7	Ints7	INTS7	INTS7
gene_5854	TRO	TRO	Tro	TRO	TRO
gene_5855	OXR1	OXR1	Oxr1	OXR1	OXR1
gene_5856	SPATA5	SPATA5	Spata5	SPATA5	SPATA5
gene_5857	PTOV1	PTOV1	Ptov1	PTOV1	PTOV1
gene_5858	KIF20B	KIF20B	Kif20b	KIF20B	KIF20B
gene_5859	MAPK7	MAPK7	Mapk7	MAPK7	MAPK7
gene_5860	SPRY1	SPRY1	Spry1	SPRY1	SPRY1
gene_5861	NOA1	NOA1	Noa1	NOA1	NOA1
gene_5862	POLR2B	POLR2B	Polr2b	POLR2B	POLR2B
gene_5863	SYNE3	SYNE3	Syne3	SYNE3	SYNE3
gene_5864	DYNC2I2	DYNC2I2	Dync2i2	DYNC2I2	DYNC2I2
gene_5865	MRTFB	MRTFB	Mrtfb	MRTFB	MRTFB
gene_5866	MFAP4	MFAP4	Mfap4	MFAP4	MFAP4
gene_5867	PROX2	PROX2	Prox2	PROX2	PROX2
gene_5868	SIPA1L1	SIPA1L1	Sipa1l1	SIPA1L1	SIPA1L1
gene_5869	SEMA6A	SEMA6A	Sema6a	SEMA6A	SEMA6A
gene_5870	CCDC50	CCDC50	Ccdc50	CCDC50	CCDC50
gene_5871	PSTK	PSTK	Pstk	PSTK	PSTK
gene_5872	PNKP	PNKP	Pnkp	PNKP	PNKP
gene_5873	RNF112	RNF112	Rnf112	RNF112	RNF112
gene_5874	BTBD11	BTBD11	Btbd11	BTBD11	BTBD11
gene_5875	CABCOCO1	CABCOCO1	Cabcoco1	CABCOCO1	CABCOCO1
gene_5876	IGFBP7	IGFBP7	Igfbp7	IGFBP7	IGFBP7
gene_5877	HES1	HES1	Hes1	HES1	HES1
gene_5878	GK5	GK5	Gk5	GK5	GK5
gene_5879	ALOXE3	ALOXE3	Aloxe3	ALOXE3	ALOXE3
gene_5880	PTPRE	PTPRE	Ptpre	PTPRE	PTPRE
gene_5881	EDARADD	EDARADD	Edaradd	EDARADD	EDARADD
gene_5882	RANBP3L	RANBP3L	Ranbp3l	RANBP3L	RANBP3L
gene_5883	MPZL2	MPZL2	Mpzl2	MPZL2	MPZL2
gene_5884	NPLOC4	NPLOC4	Nploc4	NPLOC4	NPLOC4
gene_5885	BRINP3	BRINP3	Brinp3	BRINP3	BRINP3
gene_5886	EMILIN3	EMILIN3	Emilin3	EMILIN3	EMILIN3
gene_5887	FOLR1	FOLR1	Folr1	FOLR1	FOLR1
gene_5888	PPEF1	PPEF1	Ppef1	PPEF1	PPEF1
gene_5889	LMX1A	LMX1A	Lmx1a	LMX1A	LMX1A
gene_5890	TRIM36	TRIM36	Trim36	TRIM36	TRIM36
gene_5891	SDR16C5	SDR16C5	Sdr16c5	SDR16C5	SDR16C5
gene_5892	ANXA5	ANXA5	Anxa5	ANXA5	ANXA5
gene_5893	EHHADH	EHHADH	Ehhadh	EHHADH	EHHADH
gene_5894	CCNE2	CCNE2	Ccne2	CCNE2	CCNE2
gene_5895	SLC15A4	SLC15A4	Slc15a4	SLC15A4	SLC15A4
gene_5896	ADCY10	ADCY10	Adcy10	ADCY10	ADCY10
gene_5897	ZBTB1	ZBTB1	Zbtb1	ZBTB1	ZBTB1
gene_5898	AP3M1	AP3M1	Ap3m1	AP3M1	AP3M1
gene_5899	MTMR2	MTMR2	Mtmr2	MTMR2	MTMR2
gene_5900	TRIM9	TRIM9	Trim9	TRIM9	TRIM9
gene_5901	VARS1	VARS1	Vars	VARS1	VARS1
gene_5902	OXLD1	OXLD1	Oxld1	OXLD1	OXLD1
gene_5903	HERC4	HERC4	Herc4	HERC4	HERC4
gene_5904	CCDC137	CCDC137	Ccdc137	CCDC137	CCDC137
gene_5905	MYL2	MYL2	Myl2	MYL2	MYL2
gene_5906	CPED1	CPED1	Cped1	CPED1	CPED1
gene_5907	PDK3	PDK3	Pdk3	PDK3	PDK3
gene_5908	HIF1A	HIF1A	Hif1a	HIF1A	HIF1A
gene_5909	NKX2-6	NKX2-6	Nkx2-6	NKX2-6	NKX2-6
gene_5910	MSC	MSC	Msc	MSC	MSC
gene_5911	TDRP	TDRP	Tdrp	TDRP	TDRP
gene_5912	LRP12	LRP12	Lrp12	LRP12	LRP12
gene_5913	ARMCX1	ARMCX1	Armcx1	ARMCX1	ARMCX1
gene_5914	ZNF648	ZNF648	Zfp648	ZNF648	ZNF648
gene_5915	ARMCX6	ARMCX6	Armcx6	ARMCX6	ARMCX6
gene_5916	TMEM65	TMEM65	Tmem65	TMEM65	TMEM65
gene_5917	ARMCX3	ARMCX3	Armcx3	ARMCX3	ARMCX3
gene_5918	LSM2	LSM2	Lsm2	LSM2	LSM2
gene_5919	PIGQ	PIGQ	Pigq	PIGQ	PIGQ
gene_5920	CCDC93	CCDC93	Ccdc93	CCDC93	CCDC93
gene_5921	RPH3A	RPH3A	Rph3a	RPH3A	RPH3A
gene_5922	ZC3H3	ZC3H3	Zc3h3	ZC3H3	ZC3H3
gene_5923	FSCN2	FSCN2	Fscn2	FSCN2	FSCN2
gene_5924	WDR5	WDR5	Wdr5	WDR5	WDR5
gene_5925	MED25	MED25	Med25	MED25	MED25
gene_5926	SLC51A	SLC51A	Slc51a	SLC51A	SLC51A
gene_5927	HSPA1L	HSPA1L	Hspa1l	HSPA1L	HSPA1L
gene_5928	GSDMD	GSDMD	Gsdmd	GSDMD	GSDMD
gene_5929	LUC7L2	LUC7L2	Luc7l2	LUC7L2	LUC7L2
gene_5930	RECQL5	RECQL5	Recql5	RECQL5	RECQL5
gene_5931	SIDT2	SIDT2	Sidt2	SIDT2	SIDT2
gene_5932	ARMCX2	ARMCX2	Armcx2	ARMCX2	ARMCX2
gene_5933	GPATCH2	GPATCH2	Gpatch2	GPATCH2	GPATCH2
gene_5934	C15H9orf152	C9orf152	D630039A03Rik	C9orf152	C9orf152
gene_5935	LRRC26	LRRC26	Lrrc26	LRRC26	LRRC26
gene_5936	EPB41L4B	EPB41L4B	Epb41l4b	EPB41L4B	EPB41L4B
gene_5937	EXOSC9	EXOSC9	Exosc9	EXOSC9	EXOSC9
gene_5938	DCTN4	DCTN4	Dctn4	DCTN4	DCTN4
gene_5939	SMYD2	SMYD2	Smyd2	SMYD2	SMYD2
gene_5940	EIF2B5	EIF2B5	Eif2b5	EIF2B5	EIF2B5
gene_5941	MTX2	MTX2	Mtx2	MTX2	MTX2
gene_5942	PRSS58	PRSS58	Prss58	PRSS58	PRSS58
gene_5943	SNAPC1	SNAPC1	Snapc1	SNAPC1	SNAPC1
gene_5944	TNFSF8	TNFSF8	Tnfsf8	TNFSF8	TNFSF8
gene_5945	ZRSR2	ZRSR2	Zrsr1	ZRSR2	ZRSR2
gene_5946	OMD	OMD	Omd	OMD	OMD
gene_5947	LCN8	LCN8	Lcn8	LCN8	LCN8
gene_5948	ATP2A1	ATP2A1	Atp2a1	ATP2A1	ATP2A1
gene_5949	WDR75	WDR75	Wdr75	WDR75	WDR75
gene_5950	SNORD48	SNORD48	Gm25744	SNORD48	SNORD48
gene_5951	SNORD52	SNORD52	Snord52	SNORD52	SNORD52
gene_5952	REC8	REC8	Rec8	REC8	REC8
gene_5953	ZBTB12	ZBTB12	Zbtb12	ZBTB12	ZBTB12
gene_5954	ZFAND6	ZFAND6	Zfand6	ZFAND6	ZFAND6
gene_5955	GPSM1	GPSM1	Gpsm1	GPSM1	GPSM1
gene_5956	MYO1G	MYO1G	Myo1g	MYO1G	MYO1G
gene_5957	MYOZ3	MYOZ3	Myoz3	MYOZ3	MYOZ3
gene_5958	NAPRT	NAPRT	Naprt	NAPRT	NAPRT
gene_5959	SELL	SELL	Sell	SELL	SELL
gene_5960	TMEM161B	TMEM161B	Tmem161b	TMEM161B	TMEM161B
gene_5961	DPT	DPT	Dpt	DPT	DPT
gene_5962	RFX8	RFX8	Rfx8	RFX8	RFX8
gene_5963	STAP2	STAP2	Stap2	STAP2	STAP2
gene_5964	CAPN8	CAPN8	Capn8	CAPN8	CAPN8
gene_5965	MAS1	MAS1	Mas1	MAS1	MAS1
gene_5966	IGF2R	IGF2R	Igf2r	IGF2R	IGF2R
gene_5967	POMT1	POMT1	Pomt1	POMT1	POMT1
gene_5968	FARP2	FARP2	Farp2	FARP2	FARP2
gene_5969	CPNE6	CPNE6	Cpne6	CPNE6	CPNE6
gene_5970	CCNA2	CCNA2	Ccna2	CCNA2	CCNA2
gene_5971	SAP30BP	SAP30BP	Sap30bp	SAP30BP	SAP30BP
gene_5972	TAGLN	TAGLN	Tagln	TAGLN	TAGLN
gene_5973	BBS7	BBS7	Bbs7	BBS7	BBS7
gene_5974	PIK3CB	PIK3CB	Pik3cb	PIK3CB	PIK3CB
gene_5975	AKR1D1	AKR1D1	Akr1d1	AKR1D1	AKR1D1
gene_5976	STEEP1	NKRF	Nkrf	NKRF	NKRF
gene_5977	RHOU	RHOU	Rhou	RHOU	RHOU
gene_5978	TOR3A	TOR3A	Tor3a	TOR3A	TOR3A
gene_5979	FRMPD4	FRMPD4	Frmpd4	FRMPD4	FRMPD4
gene_5980	P2RX7	P2RX7	P2rx7	P2RX7	P2RX7
gene_5981	SLC22A1	SLC22A1	Slc22a1	SLC22A1	SLC22A1
gene_5982	ING3	ING3	Ing3	ING3	ING3
gene_5983	RNF2	RNF2	Rnf2	RNF2	RNF2
gene_5984	TRIM72	FUS	Fus	FUS	FUS
gene_5985	RNF214	RNF214	Rnf214	RNF214	RNF214
gene_5986	TRPC3	TRPC3	Trpc3	TRPC3	TRPC3
gene_5987	WDR25	WDR25	Wdr25	WDR25	WDR25
gene_5988	GFUS	GFUS	Gfus	GFUS	GFUS
gene_5989	MIER3	MIER3	Mier3	MIER3	MIER3
gene_5990	YIPF2	YIPF2	Yipf2	YIPF2	YIPF2
gene_5991	TFEB	TFEB	Tfeb	TFEB	TFEB
gene_5992	KDM5B	KDM5B	Kdm5b	KDM5B	KDM5B
gene_5993	FIGLA	FIGLA	Figla	FIGLA	FIGLA
gene_5994	KCNS3	KCNS3	Kcns3	KCNS3	KCNS3
gene_5995	SHQ1	SHQ1	Shq1	SHQ1	SHQ1
gene_5996	ASB2	ASB2	Asb2	ASB2	ASB2
gene_5997	PRKAG2	PRKAG2	Prkag2	PRKAG2	PRKAG2
gene_5998	FAM178B	FAM178B	Fam178b	FAM178B	FAM178B
gene_5999	SMARCA1	SMARCA1	Smarca1	SMARCA1	SMARCA1
gene_6000	RTP2	RTP2	Rtp2	RTP2	RTP2
gene_6001	FBXL5	FBXL5	Fbxl5	FBXL5	FBXL5
gene_6002	ZNF623	ZNF623	Zfp623	ZNF623	ZNF623
gene_6003	SPG21	SPG21	Spg21	SPG21	SPG21
gene_6004	PCYT1A	PCYT1A	Pcyt1a	PCYT1A	PCYT1A
gene_6005	TMEM67	TMEM67	Tmem67	TMEM67	TMEM67
gene_6006	OTUB2	OTUB2	Otub2	OTUB2	OTUB2
gene_6007	CHD1	CHD1	Chd1	CHD1	CHD1
gene_6008	ITGB4	ITGB4	Itgb4	ITGB4	ITGB4
gene_6009	PDIA2	PDIA2	Pdia2	PDIA2	PDIA2
gene_6010	PPP4R4	PPP4R4	Ppp4r4	PPP4R4	PPP4R4
gene_6011	HECTD2	HECTD2	Hectd2	HECTD2	HECTD2
gene_6012	OCRL	OCRL	Ocrl	OCRL	OCRL
gene_6013	TARS1	TARS1	Tars	TARS1	TARS1
gene_6014	LRCH3	LRCH3	Lrch3	LRCH3	LRCH3
gene_6015	LRRC55	LRRC55	Lrrc55	LRRC55	LRRC55
gene_6016	MTFMT	MTFMT	Mtfmt	MTFMT	MTFMT
gene_6017	NKX2-1	NKX2-1	Nkx2-1	NKX2-1	NKX2-1
gene_6018	TMEM132D	TMEM132D	Tmem132d	TMEM132D	TMEM132D
gene_6019	D2HGDH	D2HGDH	D2hgdh	D2HGDH	D2HGDH
gene_6020	OTX2	OTX2	Otx2	OTX2	OTX2
gene_6021	SLC51B	SLC51B	Slc51b	SLC51B	SLC51B
gene_6022	DNASE1L1	DNASE1L1	Dnase1l1	DNASE1L1	DNASE1L1
gene_6023	TMEM116	TMEM116	Tmem116	TMEM116	TMEM116
gene_6024	RRN3	RRN3	Rrn3	RRN3	RRN3
gene_6025	SSRP1	SSRP1	Ssrp1	SSRP1	SSRP1
gene_6026	RASL12	RASL12	Rasl12	RASL12	RASL12
gene_6027	ADK	ADK	Adk	ADK	ADK
gene_6028	AP2A1	AP2A1	Ap2a1	AP2A1	AP2A1
gene_6029	PDCD7	PDCD7	Pdcd7	PDCD7	PDCD7
gene_6030	NEU1	NEU1	Neu1	NEU1	NEU1
gene_6031	BST1	BST1	Bst1	BST1	BST1
gene_6032	WNT16	WNT16	Wnt16	WNT16	WNT16
gene_6033	HK1	HK1	Hk1	HK1	HK1
gene_6034	KCNT1	KCNT1	Kcnt1	KCNT1	KCNT1
gene_6035	KLF10	KLF10	Klf10	KLF10	KLF10
gene_6036	SYNCRIP	SYNCRIP	Syncrip	SYNCRIP	SYNCRIP
gene_6037	CAST	CAST	Cast	CAST	CAST
gene_6038	ARMCX5	ARMCX5	Armcx5	ARMCX5	ARMCX5
gene_6039	MARCHF7	MARCHF7	Marchf7	MARCHF7	MARCHF7
gene_6040	CILP	CILP	Cilp	CILP	CILP
gene_6041	NUDT22	NUDT22	Nudt22	NUDT22	NUDT22
gene_6042	U5	U5	Rnu5g	U5	RNU5A-1
gene_6043	SPRYD4	SPRYD4	Spryd4	SPRYD4	SPRYD4
gene_6044	LMF1	LMF1	Lmf1	LMF1	LMF1
gene_6045	RBM41	RBM41	Rbm41	RBM41	RBM41
gene_6046	PAQR5	PAQR5	Paqr5	PAQR5	PAQR5
gene_6047	AGK	AGK	Agk	AGK	AGK
gene_6048	FBXO45	FBXO45	Fbxo45	FBXO45	FBXO45
gene_6049	KCNU1	KCNU1	Kcnu1	KCNU1	KCNU1
gene_6050	SULT1E1	SULT1E1	Sult1e1	SULT1E1	SULT1E1
gene_6051	AP1M1	AP1M1	Ap1m1	AP1M1	AP1M1
gene_6052	RBP1	NMNAT3	Nmnat3	NMNAT3	NMNAT3
gene_6053	CSN1S1	CSN1S1	Csn1s1	CSN1S1	CSN1S1
gene_6054	COL5A2	COL5A2	Col5a2	COL5A2	COL5A2
gene_6055	ANKLE2	ANKLE2	Ankle2	ANKLE2	ANKLE2
gene_6056	IRX6	IRX6	Irx6	IRX6	IRX6
gene_6057	KIF23	KIF23	Kif23	KIF23	KIF23
gene_6058	PACS2	PACS2	Pacs2	PACS2	PACS2
gene_6059	VPS13B	VPS13B	Vps13b	VPS13B	VPS13B
gene_6060	OSBPL5	OSBPL5	Osbpl5	OSBPL5	OSBPL5
gene_6061	ROGDI	ROGDI	Rogdi	ROGDI	ROGDI
gene_6062	TSPAN6	SYTL4	Sytl4	SYTL4	SYTL4
gene_6063	SLC17A8	SLC17A8	Slc17a8	SLC17A8	SLC17A8
gene_6064	BCL6	BCL6	Bcl6	BCL6	BCL6
gene_6065	NHSL2	NHSL2	Nhsl2	NHSL2	NHSL2
gene_6066	RGS5	RGS5	Rgs5	RGS5	RGS5
gene_6067	SLC16A12	SLC16A12	Slc16a12	SLC16A12	SLC16A12
gene_6068	ANAPC16	ANAPC16	Anapc16	ANAPC16	ANAPC16
gene_6069	INSIG1	INSIG1	Insig1	INSIG1	INSIG1
gene_6070	KDM8	KDM8	Kdm8	KDM8	KDM8
gene_6071	DDIT4	DDIT4	Ddit4	DDIT4	DDIT4
gene_6072	SPATA17	SPATA17	Spata17	SPATA17	SPATA17
gene_6073	HEPH	HEPH	Heph	HEPH	HEPH
gene_6074	HACD1	HACD1	Hacd1	HACD1	HACD1
gene_6075	UNK	UNK	Unk	UNK	UNK
gene_6076	YEATS2	YEATS2	Yeats2	YEATS2	YEATS2
gene_6077	SEPTIN12	SEPTIN12	Septin12	SEPTIN12	SEPTIN12
gene_6078	PRRX1	PRRX1	Prrx1	PRRX1	PRRX1
gene_6079	STAM	STAM	Stam	STAM	STAM
gene_6080	BRAP	BRAP	Brap	BRAP	BRAP
gene_6081	WBP2	WBP2	Wbp2	WBP2	WBP2
gene_6082	STK25	STK25	Stk25	STK25	STK25
gene_6083	IVNS1ABP	IVNS1ABP	Ivns1abp	IVNS1ABP	IVNS1ABP
gene_6084	PAXIP1	PAXIP1	Paxip1	PAXIP1	PAXIP1
gene_6085	FYTTD1	FYTTD1	Fyttd1	FYTTD1	FYTTD1
gene_6086	GTPBP4	GTPBP4	Gtpbp4	GTPBP4	GTPBP4
gene_6087	CHPT1	CHPT1	Chpt1	CHPT1	CHPT1
gene_6088	OTOA	OTOA	Otoa	OTOA	OTOA
gene_6089	GARRE1	GARRE1	Garre1	GARRE1	GARRE1
gene_6090	TEX22	TEX22	Tex22	TEX22	TEX22
gene_6091	JCHAIN	JCHAIN	Jchain	JCHAIN	JCHAIN
gene_6092	CARS1	CARS1	Cars	CARS1	CARS1
gene_6093	PRR3	PRR3	Prr3	PRR3	PRR3
gene_6094	SOWAHB	SOWAHB	Sowahb	SOWAHB	SOWAHB
gene_6095	CCNI	CCNI	Ccni	CCNI	CCNI
gene_6096	PPP1R10	PPP1R10	Ppp1r10	PPP1R10	PPP1R10
gene_6097	ASTN1	ASTN1	Astn1	ASTN1	ASTN1
gene_6098	TBX3	TBX3	Tbx3	TBX3	TBX3
gene_6099	KLB	KLB	Klb	KLB	KLB
gene_6100	AKR1B1	AKR1B1	Akr1b3	AKR1B1	AKR1B1
gene_6101	TRIM47	TRIM47	Trim47	TRIM47	TRIM47
gene_6102	LIAS	LIAS	Lias	LIAS	LIAS
gene_6103	TRIM65	TRIM65	Trim65	TRIM65	TRIM65
gene_6104	SVOP	SVOP	Svop	SVOP	SVOP
gene_6105	RPL8	RPL8	Rpl8	RPL8	RPL8
gene_6106	ZNF570	ZNF570	Zfp39	ZNF570	ZNF570
gene_6107	MRPS18B	MRPS18B	Mrps18b	MRPS18B	MRPS18B
gene_6108	BDH1	BDH1	Bdh1	BDH1	BDH1
gene_6109	MYO5C	MYO5C	Myo5c	MYO5C	MYO5C
gene_6110	VSIG10	VSIG10	Vsig10	VSIG10	VSIG10
gene_6111	STOX1	STOX1	Stox1	STOX1	STOX1
gene_6112	TMEM213	TMEM213	Tmem213	TMEM213	TMEM213
gene_6113	TRIM24	TRIM24	Trim24	TRIM24	TRIM24
gene_6114	DDX50	DDX50	Ddx50	DDX50	DDX50
gene_6115	DTL	DTL	Dtl	DTL	DTL
gene_6116	PLAAT1	PLAAT1	Plaat1	PLAAT1	PLAAT1
gene_6117	AQP6	AQP6	Aqp6	AQP6	AQP6
gene_6118	CRIP2	CRIP2	Crip2	CRIP2	CRIP2
gene_6119	LYL1	LYL1	Lyl1	LYL1	LYL1
gene_6120	KDM7A	KDM7A	Kdm7a	KDM7A	KDM7A
gene_6121	CERS4	CERS4	Cers4	CERS4	CERS4
gene_6122	TRMT1L	TRMT1L	Trmt1l	TRMT1L	TRMT1L
gene_6123	UGDH	UGDH	Ugdh	UGDH	UGDH
gene_6124	GALNTL5	GALNTL5	Galntl5	GALNTL5	GALNTL5
gene_6125	ZMAT1	ZMAT1	Zmat1	ZMAT1	ZMAT1
gene_6126	CPT1A	CPT1A	Cpt1a	CPT1A	CPT1A
gene_6127	RMI2	RMI2	Rmi2	RMI2	RMI2
gene_6128	SOX5	SOX5	Sox5	SOX5	SOX5
gene_6129	TNP2	TNP2	Tnp2	TNP2	TNP2
gene_6130	PRM2	PRM2	Prm2	PRM2	PRM2
gene_6131	SOAT1	SOAT1	Soat1	SOAT1	SOAT1
gene_6132	SRP68	SRP68	Srp68	SRP68	SRP68
gene_6133	ATG4B	ATG4B	Atg4b	ATG4B	ATG4B
gene_6134	ENOX2	ENOX2	Enox2	ENOX2	ENOX2
gene_6135	SNN	SNN	Snn	SNN	SNN
gene_6136	RUBCN	RUBCN	Rubcn	RUBCN	RUBCN
gene_6137	MACC1	MACC1	Macc1	MACC1	MACC1
gene_6138	COMMD5	COMMD5	Commd5	COMMD5	COMMD5
gene_6139	CD320	CD320	Cd320	CD320	CD320
gene_6140	ZNF250	ZNF250	Zfp647	ZNF250	ZNF250
gene_6141	CHSY1	CHSY1	Chsy1	CHSY1	CHSY1
gene_6142	METTL16	METTL16	Mettl16	METTL16	METTL16
gene_6143	CNST	CNST	Cnst	CNST	CNST
gene_6144	SHROOM4	SHROOM4	Shroom4	SHROOM4	SHROOM4
gene_6145	RPS28	RPS28	Rps28	RPS28	RPS28
gene_6146	TM2D3	TM2D3	Tm2d3	TM2D3	TM2D3
gene_6147	NOXA1	NOXA1	Noxa1	NOXA1	NOXA1
gene_6148	MB21D2	MB21D2	Mb21d2	MB21D2	MB21D2
gene_6149	ZC3HC1	ZC3HC1	Zc3hc1	ZC3HC1	ZC3HC1
gene_6150	TEDC1	TEDC1	Tedc1	TEDC1	TEDC1
gene_6151	MRGPRF	MRGPRF	Mrgprf	MRGPRF	MRGPRF
gene_6152	SOX13	SOX13	Sox13	SOX13	SOX13
gene_6153	ANGPTL4	ANGPTL4	Angptl4	ANGPTL4	ANGPTL4
gene_6154	TPCN2	TPCN2	Tpcn2	TPCN2	TPCN2
gene_6155	PAFAH1B1	PAFAH1B1	Pafah1b1	PAFAH1B1	PAFAH1B1
gene_6156	P3H2	P3H2	P3h2	P3H2	P3H2
gene_6157	MAP7D2	MAP7D2	Map7d2	MAP7D2	MAP7D2
gene_6158	ATAT1	C6orf136	2310061I04Rik	C6orf136	C6orf136
gene_6159	NID1	NID1	Nid1	NID1	NID1
gene_6160	TARS3	TARS3	Tarsl2	TARS3	TARS3
gene_6161	U6	U6	Gm24678	U6	RNU6-694P
gene_6162	CHCHD3	CHCHD3	Chchd3	CHCHD3	CHCHD3
gene_6163	WDR53	WDR53	Wdr53	WDR53	WDR53
gene_6164	PPIF	PPIF	Ppif	PPIF	PPIF
gene_6165	HNRNPM	HNRNPM	Hnrnpm	HNRNPM	HNRNPM
gene_6166	MROH1	MROH1	Mroh1	MROH1	MROH1
gene_6167	DHX16	DHX16	Dhx16	DHX16	DHX16
gene_6168	FGFR1OP2	FGFR1OP2	Fgfr1op2	FGFR1OP2	FGFR1OP2
